
Cədvəl 1.5. Azərbaycan Respublikasının xarici ticarəti (tədiyə balansı metodologiyasına əsasən)
Table 1.5. Foreign trade of the Republic of Azerbaijan (based on a balance of payments methodology)

min ABŞ dolları / thousand USD
Tarix, İxrac (FOB), İdxal (FOB), Ticarət balansı, =BY8+BY18+BY28+BY36
Cəmi, Əvvəlki ilin müvafiq dövrünə nisbətən dəyişmə, %-lə, o cümlədən, Cəmi, Əvvəlki ilin müvafiq dövrünə nisbətən dəyişmə, %-lə, o cümlədən, Cəmi, o cümlədən
Uzaq xarici dövlətlərə, Əvvəlki ilin müvafiq dövrünə nisbətən dəyişmə, %-lə, MDB dövlətlərinə, Əvvəlki ilin müvafiq dövrünə nisbətən dəyişmə, %-lə, Uzaq xarici dövlətlərdən, Əvvəlki ilin müvafiq dövrünə nisbətən dəyişmə, %-lə, MDB dövlətlərindən, Əvvəlki ilin müvafiq dövrünə nisbətən dəyişmə, %-lə, Uzaq xarici dövlətlər üzrə, MDB dövlətləri üzrə




Date, Exports (FOB), Imports (FOB), Trade balance
Total, On a relevant period of previous year, %, of which, Total, On a relevant period of previous year, %, of which, Total, of which
To non-CIS countries, On a relevant period of previous year, %, To CIS countries, On a relevant period of previous year, %, From non-CIS countries, On a relevant period of previous year, %, From CIS countries, On a relevant period of previous year, %, On non-CIS countries, On CIS countries



1995, 612343, 89.8, 339297, 93.6, 273046, 85.6, 985432, 115.8, 755527, 185.6, 229905, 51.8, =B19-H19, =D19-J19, =F19-L19
2002, =SUM(B46:B49), =B45/B39*100, =SUM(D46:D49), =D45/D39*100, =SUM(F46:F49), =F45/F39*100, =SUM(H46:H49), =H45/H39*100, =SUM(J46:J49), =J45/J39*100, =SUM(L46:L49), =L45/L39*100, =SUM(N46:N49), =SUM(O46:O49), =F45-L45
I  rüb, 450164, =B46/B40*100, 401156, =D46/D40*100, 49008, =F46/F40*100, 388536, =H46/H40*100, 235658, =J46/J40*100, 152878, =L46/L40*100, =B46-H46, =D46-J46, =F46-L46
II  rüb, 488972, =B47/B41*100, 441582, =D47/D41*100, 47390, =F47/F41*100, 404729, =H47/H41*100, 235732, =J47/J41*100, 168997, =L47/L41*100, =B47-H47, =D47-J47, =F47-L47
III rüb, 631127, =B48/B42*100, 566623, =D48/D42*100, 64504, =F48/F42*100, 466823, =H48/H42*100, 316432, =J48/J42*100, 150391, =L48/L42*100, =B48-H48, =D48-J48, =F48-L48
IV rüb, 734630, =B49/B43*100, 651789, =D49/D43*100, 82841, =F49/F43*100, 563253, =H49/H43*100, 361428, =J49/J43*100, 201825, =L49/L43*100, =B49-H49, =D49-J49, =F49-L49

2003, =SUM(B52:B55), =B51/B45*100, =SUM(D52:D55), =D51/D45*100, =SUM(F52:F55), =F51/F45*100, =SUM(H52:H55), =H51/H45*100, =SUM(J52:J55), =J51/J45*100, =SUM(L52:L55), =L51/L45*100, =B51-H51, =D51-J51, =F51-L51
I  rüb, 674859, =B52/B46*100, 616581, =D52/D46*100, 58278, =F52/F46*100, 486576, =H52/H46*100, 300283, =J52/J46*100, 186293, =L52/L46*100, =B52-H52, =D52-J52, =F52-L52
II  rüb, 681183, =B53/B47*100, 610772, =D53/D47*100, 70411, =F53/F47*100, 677680, =H53/H47*100, 484528, =J53/J47*100, 193152, =L53/L47*100, =B53-H53, =D53-J53, =F53-L53
III rüb, 536939, =B54/B48*100, 460104, =D54/D48*100, 76835, =F54/F48*100, 681253, =H54/H48*100, 472875, =J54/J48*100, 208378, =L54/L48*100, =B54-H54, =D54-J54, =F54-L54
IV rüb, 731532, =B55/B49*100, 603156, =D55/D49*100, 128376, =F55/F49*100, 877195, =H55/H49*100, 598024, =J55/J49*100, 279171, =L55/L49*100, =B55-H55, =D55-J55, =F55-L55

2004, =SUM(B58:B61), =B57/B51*100, =SUM(D58:D61), =D57/D51*100, =SUM(F58:F61), =F57/F51*100, =SUM(H58:H61), =H57/H51*100, =SUM(J58:J61), =J57/J51*100, =SUM(L58:L61), =L57/L51*100, =B57-H57, =D57-J57, =F57-L57
I  rüb, 732228, =B58/B52*100, 644575, =D58/D52*100, 87653, =F58/F52*100, 712084, =H58/H52*100, 446165, =J58/J52*100, 265919, =L58/L52*100, =B58-H58, =D58-J58, =F58-L58
II  rüb, 946314, =B59/B53*100, 686126, =D59/D53*100, 260188, =F59/F53*100, 840427, =H59/H53*100, 547101, =J59/J53*100, 293326, =L59/L53*100, =B59-H59, =D59-J59, =F59-L59
III rüb, 910453, =B60/B54*100, 808630, =D60/D54*100, 101823, =F60/F54*100, 1003832, =H60/H54*100, 740024, =J60/J54*100, 263808, =L60/L54*100, =B60-H60, =D60-J60, =F60-L60
IV rüb, 1153987, =B61/B55*100, 989396, =D61/D55*100, 164519, =F61/F55*100, 1025342, =H61/H55*100, 657143, =J61/J55*100, 368199, =L61/L55*100, =B61-H61, =D61-J61, =F61-L61

2005, 7648962, 204.35476312736745, 6737131, 215.33137918393007, 911831, 148.46242895032913, 4349857, 121.44722386251163, 2967262, 124.13073280029184, 1382595, 116.06234449134188, 3299105, 3769869, -470764
I  rüb, 1124329, 153.54903117608177, 1029430, 159.70678353954156, 94899, 108.26668796276226, 1117109, 156.87882328489334, 823337, 184.5364383131801, 293772, 110.47424215644614, 7220, 206093, -198873
